1, -4
0, -4
1, -4
1, -4
1, -4
1, -4
1, -4
1, -4
1, -4
0, -7
1, -5
1, -4
3, -6
0, -4
-1, -8
-3, -3
6, -4
6, 0
0, -10
-5, 1
1, -10
2, 0
3, -3
-4, -5
4, -7
-1, -10
3, -9
4, -1
-2, 1
1, -12
1, 8
6, 3
-8, -10
-2, 4
-1, 0
4, -4
2, -3
0, -3
0, -1
7, -6
-3, -7
2, -5
2, 6
7, -3
1, -5
0, -9
3, 0
0, -4
1, -3
0, 4
5, -3
3, -10
-1, -1
-10, 10
6, 6
-2, 3
5, -9
5, -15
-10, -11
3, 0
3, 0
10, -8
0, -4
-7, -14
4, 9
-8, -8
6, -14
-1, -3
-10, -27
10, 4
-10, -32
0, 4
4, 11
12, 0
-4, -6
-8, -7
15, 23
0, -15
-13, -42
16, 21
-5, 76
15, -33
-9, 19
3, 51
-7, -41
-21, 41
32, 16
-48, -30
34, 35
-23, -40
-36, -7
23, 53
-19, -39
29, 59
-1, -8
29, 52
-4, 36
11, 78
-39, 23
-4, -37
9, -71
-12, -43
36, -32
-7, -47
14, 31
-73, -15
-1, 56
42, -2
-50, -18
20, -37
-31, -44
1, -44
-24, -56
-20, -41
-30, 54
-1, -44
10, 76
-40, -40
