0.0032 0.00 0.00 0.00 -0.00 -0.00 -0.00
0.0162 -3.07 0.11 0.05 -12.48 0.18 -0.07
0.0239 -3.26 0.07 -0.06 -12.48 0.21 -0.29
0.0308 -3.69 0.04 -0.16 -12.57 0.20 -0.55
0.0376 -3.68 0.02 -0.25 -12.59 0.20 -0.79
0.0445 -3.19 -0.00 -0.33 -12.66 0.19 -1.04
0.0514 -3.60 -0.02 -0.42 -12.77 0.18 -1.28
0.0583 -3.51 -0.05 -0.50 -12.43 0.17 -1.51
0.0651 -3.36 -0.07 -0.58 -12.60 0.17 -1.74
0.0720 -3.19 -0.10 -0.66 -12.64 0.16 -1.96
0.0789 -3.56 -0.12 -0.74 -12.71 0.15 -2.18
0.0858 -3.64 -0.14 -0.82 -12.58 0.15 -2.40
0.0927 -3.64 -0.17 -0.90 -12.55 0.14 -2.61
0.0996 -3.47 -0.19 -0.98 -12.82 0.13 -2.82
0.1064 -3.97 -0.21 -1.06 -12.55 0.13 -3.02
0.1133 -3.46 -0.23 -1.13 -12.86 0.12 -3.23
0.1202 -3.56 -0.26 -1.20 -12.72 0.11 -3.42
0.1271 -3.55 -0.28 -1.27 -12.92 0.10 -3.62
0.1340 -3.40 -0.30 -1.33 -13.02 0.09 -3.82
0.1408 -3.24 -0.33 -1.40 -12.89 0.09 -4.00
0.1477 -3.44 -0.35 -1.46 -12.75 0.08 -4.18
0.1546 -3.51 -0.38 -1.52 -12.37 0.08 -4.35
0.1615 -3.35 -0.40 -1.58 -12.65 0.07 -4.52
0.1684 -3.50 -0.42 -1.65 -12.88 0.06 -4.70
0.1753 -3.51 -0.45 -1.71 -12.54 0.06 -4.86
0.1821 -3.77 -0.47 -1.77 -12.43 0.05 -5.02
0.1890 -2.87 -0.49 -1.82 -12.42 0.05 -5.17
0.1959 -3.74 -0.52 -1.88 -12.41 0.04 -5.32
0.2028 -3.27 -0.54 -1.93 -12.55 0.03 -5.48
0.2097 -3.23 -0.56 -1.98 -12.86 0.02 -5.63
0.2165 -3.70 -0.58 -2.03 -12.52 0.02 -5.78
0.2234 -3.56 -0.61 -2.09 -12.79 0.01 -5.92
0.2303 -3.51 -0.63 -2.14 -12.47 0.00 -6.06
0.2372 -3.37 -0.66 -2.19 -12.57 -0.00 -6.20
0.2441 -3.51 -0.68 -2.24 -12.70 -0.01 -6.33
0.2510 -3.39 -0.70 -2.28 -12.53 -0.02 -6.46
0.2578 -3.50 -0.73 -2.33 -12.61 -0.02 -6.59
0.2647 -3.53 -0.75 -2.38 -12.72 -0.03 -6.72
0.2716 -3.53 -0.77 -2.42 -12.47 -0.03 -6.84
0.2785 -3.50 -0.79 -2.46 -12.65 -0.04 -6.97
0.2854 -3.74 -0.82 -2.51 -12.77 -0.05 -7.09
0.2922 -3.50 -0.84 -2.55 -12.82 -0.06 -7.21
0.2991 -3.67 -0.86 -2.60 -12.67 -0.06 -7.33
0.3060 -3.44 -0.89 -2.64 -12.62 -0.07 -7.44
0.3129 -3.48 -0.91 -2.68 -12.46 -0.08 -7.55
0.3198 -3.38 -0.93 -2.72 -12.72 -0.09 -7.66
0.3267 -3.41 -0.96 -2.75 -12.53 -0.09 -7.76
0.3335 -3.68 -0.98 -2.79 -12.69 -0.10 -7.87
0.3404 -3.25 -1.00 -2.82 -12.34 -0.11 -7.96
0.3473 -3.45 -1.03 -2.86 -12.38 -0.11 -8.06
0.3542 -3.55 -1.05 -2.90 -12.47 -0.12 -8.15
0.3611 -3.37 -1.07 -2.93 -12.65 -0.13 -8.25
0.3679 -3.54 -1.10 -2.97 -12.47 -0.13 -8.34
0.3748 -3.72 -1.12 -3.01 -12.75 -0.14 -8.44
0.3817 -3.48 -1.15 -3.04 -12.70 -0.15 -8.53
0.3886 -3.27 -1.17 -3.07 -12.35 -0.15 -8.61
0.3955 -3.29 -1.20 -3.10 -12.64 -0.16 -8.70
0.4023 -3.32 -1.23 -3.13 -12.79 -0.17 -8.79
0.4092 -3.39 -1.25 -3.16 -12.63 -0.18 -8.87
0.4161 -3.76 -1.28 -3.20 -12.79 -0.18 -8.96
0.4230 -3.16 -1.30 -3.22 -12.58 -0.19 -9.04
0.4299 -3.12 -1.33 -3.25 -12.36 -0.20 -9.11
0.4367 -3.36 -1.35 -3.27 -12.97 -0.21 -9.20
0.4436 -3.56 -1.38 -3.30 -12.44 -0.22 -9.27
0.4505 -3.62 -1.40 -3.33 -12.43 -0.23 -9.34
0.4574 -3.63 -1.43 -3.36 -12.46 -0.23 -9.41
0.4643 -3.73 -1.45 -3.39 -12.87 -0.24 -9.49
0.4711 -3.67 -1.48 -3.43 -12.91 -0.25 -9.57
0.4780 -3.81 -1.50 -3.46 -12.68 -0.26 -9.64
0.4850 -3.84 -1.53 -3.49 -12.58 -0.26 -9.70
0.4919 -3.70 -1.56 -3.52 -12.68 -0.27 -9.77
0.4988 -3.72 -1.58 -3.55 -12.60 -0.28 -9.83
0.5057 -3.59 -1.60 -3.57 -12.88 -0.29 -9.90
0.5125 -3.47 -1.63 -3.59 -12.53 -0.29 -9.96
0.5194 -3.65 -1.65 -3.62 -12.61 -0.30 -10.02
0.5263 -3.55 -1.67 -3.64 -12.63 -0.31 -10.08
0.5332 -3.63 -1.70 -3.66 -12.46 -0.31 -10.13
0.5401 -3.60 -1.72 -3.68 -12.95 -0.32 -10.20
0.5469 -3.62 -1.74 -3.70 -12.50 -0.33 -10.25
0.5538 -3.80 -1.77 -3.73 -12.36 -0.34 -10.30
0.5607 -3.37 -1.79 -3.74 -12.45 -0.34 -10.35
0.5676 -3.45 -1.81 -3.76 -12.53 -0.35 -10.40
0.5745 -3.21 -1.83 -3.77 -12.79 -0.36 -10.45
0.5814 -3.83 -1.85 -3.79 -12.70 -0.36 -10.50
0.5882 -3.59 -1.88 -3.81 -12.65 -0.37 -10.55
0.5951 -3.83 -1.90 -3.83 -12.65 -0.37 -10.60
0.6020 -3.62 -1.92 -3.85 -12.88 -0.38 -10.65
0.6089 -3.68 -1.94 -3.87 -12.79 -0.39 -10.70
0.6158 -3.55 -1.97 -3.88 -12.53 -0.39 -10.75
0.6226 -3.55 -1.99 -3.90 -12.71 -0.40 -10.79
0.6295 -3.47 -2.01 -3.91 -12.60 -0.41 -10.83
0.6364 -3.44 -2.04 -3.93 -12.39 -0.41 -10.87
0.6433 -3.27 -2.06 -3.94 -12.68 -0.42 -10.91
0.6502 -3.41 -2.08 -3.95 -12.70 -0.43 -10.95
0.6571 -3.46 -2.11 -3.96 -12.64 -0.43 -10.99
0.6640 -3.35 -2.13 -3.98 -12.70 -0.44 -11.04
0.6709 -3.29 -2.16 -3.98 -12.60 -0.45 -11.08
0.6778 -3.32 -2.18 -3.99 -12.94 -0.45 -11.12
0.6847 -3.47 -2.20 -4.01 -12.69 -0.46 -11.16
0.6915 -3.52 -2.22 -4.02 -12.43 -0.47 -11.19
0.6984 -3.53 -2.25 -4.03 -12.44 -0.48 -11.22
0.7053 -3.50 -2.27 -4.05 -12.54 -0.48 -11.26
0.7122 -3.44 -2.30 -4.06 -12.57 -0.49 -11.29
0.7191 -3.21 -2.32 -4.06 -12.59 -0.50 -11.32
0.7259 -3.40 -2.34 -4.07 -12.39 -0.51 -11.35
0.7335 -3.31 -2.37 -4.08 -12.51 -0.51 -11.38
0.7415 -3.75 -2.39 -4.10 -12.68 -0.52 -11.42
0.7496 -3.63 -2.41 -4.11 -12.75 -0.53 -11.45
0.7576 -3.51 -2.44 -4.12 -12.81 -0.54 -11.48
0.7656 -3.71 -2.46 -4.14 -12.61 -0.54 -11.51
0.7736 -3.57 -2.49 -4.15 -12.71 -0.55 -11.54
0.7817 -3.89 -2.51 -4.17 -12.40 -0.55 -11.57
0.7897 -3.31 -2.53 -4.18 -12.54 -0.56 -11.59
0.7977 -3.89 -2.56 -4.19 -12.51 -0.57 -11.62
0.8058 -3.26 -2.58 -4.20 -12.73 -0.57 -11.65
0.8138 -3.67 -2.61 -4.21 -12.50 -0.58 -11.67
0.8218 -3.56 -2.63 -4.22 -12.60 -0.59 -11.69
0.8298 -3.77 -2.65 -4.23 -12.45 -0.60 -11.72
0.8379 -3.67 -2.67 -4.24 -12.48 -0.60 -11.74
0.8459 -3.42 -2.70 -4.25 -12.58 -0.61 -11.76
0.8539 -3.21 -2.72 -4.25 -12.75 -0.62 -11.79
0.8620 -3.60 -2.74 -4.26 -12.65 -0.62 -11.81
0.8700 -3.06 -2.77 -4.26 -12.94 -0.63 -11.84
0.8780 -3.77 -2.79 -4.27 -12.71 -0.64 -11.87
0.8861 -3.33 -2.81 -4.28 -12.78 -0.64 -11.89
0.8941 -3.68 -2.84 -4.29 -12.67 -0.65 -11.92
0.9021 -3.57 -2.86 -4.30 -13.02 -0.66 -11.94
0.9101 -3.46 -2.88 -4.30 -13.20 -0.67 -11.98
0.9182 -3.81 -2.91 -4.32 -12.74 -0.67 -12.00
0.9262 -3.61 -2.93 -4.33 -12.60 -0.68 -12.01
0.9342 -3.64 -2.95 -4.33 -12.57 -0.68 -12.03
0.9423 -3.51 -2.98 -4.34 -12.92 -0.69 -12.05
0.9503 -3.19 -3.00 -4.34 -12.50 -0.70 -12.07
0.9583 -3.58 -3.02 -4.35 -12.58 -0.70 -12.09
0.9664 -3.16 -3.05 -4.35 -12.59 -0.71 -12.11
0.9744 -3.52 -3.07 -4.35 -12.18 -0.72 -12.11
0.9824 -3.67 -3.09 -4.36 -12.62 -0.73 -12.13
0.9904 -3.65 -3.12 -4.37 -12.69 -0.73 -12.15
0.9985 -3.58 -3.14 -4.38 -12.44 -0.74 -12.16
1.0065 -3.23 -3.17 -4.38 -12.45 -0.74 -12.17
1.0145 -3.64 -3.19 -4.39 -12.94 -0.75 -12.20
1.0225 -3.46 -3.21 -4.39 -12.69 -0.76 -12.21
1.0306 -3.55 -3.24 -4.40 -12.57 -0.77 -12.23
